GCF_000008545.1 ASM854v1
GCF_000016785.1 ASM1678v1
GCF_000018945.1 ASM1894v1
GCF_000019625.1 ASM1962v1
GCF_000025105.1 ASM2510v1
GCF_000294555.1 ASM29455v1
GCF_000390265.1 ASM39026v1
GCF_000750655.1 TnapLA10N1
GCF_000784785.1 ASM78478v1
GCF_000784795.1 ASM78479v1
GCF_000784825.1 ASM78482v1
GCF_000784835.1 ASM78483v1
GCF_000789335.1 ASM78933v1
GCF_000789375.1 ASM78937v1
GCF_000828655.1 ASM82865v1
GCF_000828675.1 ASM82867v1
GCF_000832145.1 ASM83214v1
GCF_000978535.1 ASM97853v1
GCF_000978555.1 ASM97855v1
GCF_000978575.1 ASM97857v1
GCF_002865985.1 ASM286598v1
GCF_002866025.1 ASM286602v1
GCF_004117075.1 ASM411707v1
GCF_011057665.1 ASM1105766v1
GCF_011057685.1 ASM1105768v1
