family,num_of_cazymes
CBM22,32
CBM27,22
CBM35,3
CBM4,15
CBM41,23
CBM48,36
CBM50,24
CBM61,12
CBM66,2
CBM9,21
CE1,1
CE4,14
CE7,22
CE8,1
CE9,15
GH0,16
GH1,21
GH10,40
GH106,13
GH12,36
GH127,15
GH13,113
GH130,28
GH140,3
GH154,9
GH16,15
GH2,51
GH23,28
GH26,2
GH28,11
GH29,14
GH3,51
GH31,16
GH32,15
GH36,20
GH38,28
GH39,3
GH4,64
GH42,30
GH43,8
GH5,41
GH51,18
GH53,12
GH57,13
GH67,15
GH73,14
GH74,8
GH78,2
GH94,16
GT0,4
GT2,46
GT26,14
GT28,14
GT35,14
GT4,158
GT5,15
GT51,16
GT81,14
PL1,33
PL11,1
