family,num_of_cazymes
CBM22,33
CBM27,22
CBM35,3
CBM4,17
CBM41,26
CBM48,42
CBM50,26
CBM61,14
CBM66,2
CBM9,22
CE1,1
CE14,3
CE4,14
CE7,25
CE8,1
CE9,18
GH0,16
GH1,25
GH10,44
GH105,1
GH106,13
GH12,36
GH127,17
GH13,123
GH130,34
GH140,3
GH154,9
GH16,17
GH166,1
GH171,3
GH2,57
GH20,3
GH23,37
GH26,2
GH28,12
GH29,14
GH3,62
GH31,18
GH32,15
GH36,22
GH38,34
GH39,3
GH4,75
GH42,33
GH43,9
GH5,43
GH51,23
GH53,14
GH57,16
GH63,1
GH65,1
GH66,1
GH67,17
GH73,16
GH74,8
GH78,2
GH94,16
GT0,4
GT2,53
GT26,17
GT28,17
GT35,14
GT4,187
GT5,18
GT51,18
GT81,17
PL1,34
PL11,1
