genbank_accession,family
ASO19054.1,GH3
QBI55890.1,CBM6
AGC67275.1,GH3
AOT57348.1,CBM6
QKF53005.1,GH3
ANC32943.1,GH3
AUG56435.1,GH3
ADB10806.1,GH3
AGL48999.1,GH3
ADD92014.1,GH3
AXE88995.1,CBM6
ACO32886.1,GH3
AJQ29699.1,GH3
AGX44636.1,GH3
AOT57348.1,GH3
AJW65309.1,GH3
AEM71308.1,GH3
QKF52644.1,GH3
QDU72034.1,GH3
ACO33323.1,GH3
AMK07510.1,GH3
ALJ39712.1,GH3
ALJ60264.1,GH3
ALJ60860.1,GH3
ALJ40805.1,GH3
CAD48309.1,GH3
ACU36898.1,GH3
AXE88995.1,GH3
ABR71969.1,GH3
BAB97710.1,GH3
AAA80156.1,GH3
AYC35979.1,GH3
AGF58073.1,GH3
AQQ10287.1,GH3
ADB10263.1,GH3
SCM55255.1,GH3
ALK83519.1,GH3
AFY97406.1,GH3
QBE95420.1,GH3
ABM09599.1,GH3
CAZ94420.1,GH3
AOS44324.1,GH3
AEE48354.1,GH3
BAJ63898.1,GH3
ALJ59552.1,GH3
AEF85136.1,GH3
ARN56260.1,GH3
ADE82109.1,GH3
AEI46931.1,GH3
QEH38471.1,GH3
ACT00657.1,GH3
ADB10708.1,GH3
BAU54050.1,GH3
AGF59116.1,GH3
BAU54978.1,GH3
CAZ94417.1,GH3
QEW34667.1,GH3
AYC38166.1,GH3
CBT74437.1,GH3
AUY62563.1,GH3
ALJ61314.1,GH3
ACZ43243.1,GH3
ADL32934.1,GH3
CCH88401.1,GH3
ALJ59400.1,GH3
AWX43655.1,GH3
AJE05442.1,GH3
ALJ60740.1,GH3
QBI55890.1,GH3
AEE48944.1,GH3
ADM98002.1,GH3
ADB10249.1,GH3
ALJ60147.1,GH3
CEP78636.1,GH3
AYC38166.1,CBM6
CCH88196.1,GH3
ARN55819.1,GH3
QDU33657.1,GH3
AMK07469.1,GH3
