Description,Scientific Name,Common Name,Taxid,Query Cover,E value,Per. ident,Acc. Len,Accession  
ABC transporter ATP-binding protein [Thermotoga],Thermotoga,NA,2335,100%,0.0,100.00,320,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_004082591.1?report=genbank&log$=prottop&blast_rank=1&RID=1ZVADM9B013"",""WP_004082591.1"")"
ABC transporter ATP-binding protein [Thermotoga sp. 2812B],Thermotoga sp. 2812B,NA,1157948,100%,0.0,99.69,320,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_039454694.1?report=genbank&log$=prottop&blast_rank=2&RID=1ZVADM9B013"",""WP_039454694.1"")"
ABC transporter ATP-binding protein [Thermotoga sp. RQ2],Thermotoga sp. RQ2,NA,126740,100%,0.0,99.38,320,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_012310791.1?report=genbank&log$=prottop&blast_rank=3&RID=1ZVADM9B013"",""WP_012310791.1"")"
ABC transporter ATP-binding protein [Thermotoga naphthophila],Thermotoga naphthophila,NA,93930,100%,0.0,98.44,320,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_012896112.1?report=genbank&log$=prottop&blast_rank=4&RID=1ZVADM9B013"",""WP_012896112.1"")"
ABC transporter ATP-binding protein [Thermotoga petrophila],Thermotoga petrophila,NA,93929,100%,0.0,99.38,320,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_011943127.1?report=genbank&log$=prottop&blast_rank=5&RID=1ZVADM9B013"",""WP_011943127.1"")"
ABC transporter ATP-binding protein [Thermotoga petrophila],Thermotoga petrophila,NA,93929,100%,0.0,99.38,320,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_011943435.1?report=genbank&log$=prottop&blast_rank=6&RID=1ZVADM9B013"",""WP_011943435.1"")"
ABC transporter ATP-binding protein [unclassified Thermotoga],unclassified Thermotoga,NA,2631113,100%,0.0,99.06,320,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_038033231.1?report=genbank&log$=prottop&blast_rank=7&RID=1ZVADM9B013"",""WP_038033231.1"")"
TPA: ABC transporter ATP-binding protein [Thermotoga sp.],Thermotoga sp.,NA,28240,100%,0.0,99.06,320,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HET10485.1?report=genbank&log$=prottop&blast_rank=8&RID=1ZVADM9B013"",""HET10485.1"")"
ABC transporter ATP-binding protein [Thermotoga sp. EMP],Thermotoga sp. EMP,NA,1157949,97%,0.0,99.36,312,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_008195748.1?report=genbank&log$=prottop&blast_rank=9&RID=1ZVADM9B013"",""WP_008195748.1"")"
ABC transporter ATP-binding protein [Thermotoga sp.],Thermotoga sp.,NA,28240,100%,0.0,95.00,318,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCD6551118.1?report=genbank&log$=prottop&blast_rank=10&RID=1ZVADM9B013"",""MCD6551118.1"")"
