Description,Scientific Name,Common Name,Taxid,Query Cover,E value,Per. ident,Acc. Len,Accession  
Crystal structure of Acetyl xylan esterase (TM0077) from THERMOTOGA MARITIMA at 2.50 A resolution (native apo structure) [Thermotoga maritima],Thermotoga maritima,NA,2336,100%,0.0,100.00,337,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/3M81_A?report=genbank&log$=prottop&blast_rank=1&RID=1ZUW7R8T013"",""3M81_A"")"
cephalosporin-C deacetylase [Thermotoga],Thermotoga,NA,2335,100%,0.0,100.00,325,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_004082599.1?report=genbank&log$=prottop&blast_rank=2&RID=1ZUW7R8T013"",""WP_004082599.1"")"
Crystal structure of the P228A variant of Thermotoga maritima acetyl esterase [Thermotoga maritima MSB8],Thermotoga maritima MSB8,NA,243274,100%,0.0,99.69,337,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/5GMA_A?report=genbank&log$=prottop&blast_rank=3&RID=1ZUW7R8T013"",""5GMA_A"")"
Crystal structure of Acetyl xylan esterase (TM0077) from THERMOTOGA MARITIMA at 2.40 A resolution (PMSF inhibitor complex structure) [Thermotoga maritima],Thermotoga maritima,NA,2336,100%,0.0,99.69,337,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/3M82_A?report=genbank&log$=prottop&blast_rank=4&RID=1ZUW7R8T013"",""3M82_A"")"
hair-targeted perhydrolase [synthetic construct],synthetic construct,NA,32630,99%,0.0,99.69,431,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CCM43989.1?report=genbank&log$=prottop&blast_rank=5&RID=1ZUW7R8T013"",""CCM43989.1"")"
Crystal structure of Acetyl xylan esterase (TM0077) from Thermotoga maritima at 2.10 A resolution [Thermotoga maritima MSB8],Thermotoga maritima MSB8,NA,243274,99%,0.0,98.46,337,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/1VLQ_A?report=genbank&log$=prottop&blast_rank=6&RID=1ZUW7R8T013"",""1VLQ_A"")"
Cephalosporin-C deacetylase [Thermotoga sp. 47_83],Thermotoga sp. 47_83,NA,1635261,73%,2e-161,97.50,240,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KUK33256.1?report=genbank&log$=prottop&blast_rank=7&RID=1ZUW7R8T013"",""KUK33256.1"")"
TPA: acetylxylan esterase [Thermotoga naphthophila],Thermotoga naphthophila,NA,93930,100%,0.0,97.23,325,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HBU00950.1?report=genbank&log$=prottop&blast_rank=8&RID=1ZUW7R8T013"",""HBU00950.1"")"
cephalosporin-C deacetylase [Thermotoga sp. RQ2],Thermotoga sp. RQ2,NA,126740,100%,0.0,97.23,325,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_012310789.1?report=genbank&log$=prottop&blast_rank=9&RID=1ZUW7R8T013"",""WP_012310789.1"")"
acetyl xylan esterase [Thermotoga sp. 2812B],Thermotoga sp. 2812B,NA,1157948,93%,0.0,97.05,312,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AIY86427.1?report=genbank&log$=prottop&blast_rank=10&RID=1ZUW7R8T013"",""AIY86427.1"")"
TPA: acetylxylan esterase [Thermotoga sp.],Thermotoga sp.,NA,28240,100%,0.0,96.92,325,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HEO49308.1?report=genbank&log$=prottop&blast_rank=11&RID=1ZUW7R8T013"",""HEO49308.1"")"
cephalosporin-C deacetylase [Thermotoga naphthophila],Thermotoga naphthophila,NA,93930,100%,0.0,96.92,325,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_012896114.1?report=genbank&log$=prottop&blast_rank=12&RID=1ZUW7R8T013"",""WP_012896114.1"")"
cephalosporin-C deacetylase [unclassified Thermotoga],unclassified Thermotoga,NA,2631113,100%,0.0,96.62,325,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_038033229.1?report=genbank&log$=prottop&blast_rank=13&RID=1ZUW7R8T013"",""WP_038033229.1"")"
cephalosporin-C deacetylase [Thermotoga petrophila],Thermotoga petrophila,NA,93929,100%,0.0,96.62,325,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_011943433.1?report=genbank&log$=prottop&blast_rank=14&RID=1ZUW7R8T013"",""WP_011943433.1"")"
TPA: acetylxylan esterase [Thermotogae bacterium],Thermotogae bacterium,NA,2053689,100%,0.0,93.54,325,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HCZ07380.1?report=genbank&log$=prottop&blast_rank=15&RID=1ZUW7R8T013"",""HCZ07380.1"")"
Crystal structure of a loop truncation variant of Thermotoga maritima Acetyl Esterase TM0077 (apo structure) at 2.75 Angstrom resolution [Thermotoga maritima MSB8],Thermotoga maritima MSB8,NA,243274,100%,0.0,92.00,311,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/5HFN_A?report=genbank&log$=prottop&blast_rank=16&RID=1ZUW7R8T013"",""5HFN_A"")"
acetylxylan esterase [Thermotoga neapolitana],Thermotoga neapolitana,NA,2337,100%,0.0,90.77,325,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_015919110.1?report=genbank&log$=prottop&blast_rank=17&RID=1ZUW7R8T013"",""WP_015919110.1"")"
acetylxylan esterase [Thermotoga sp. RQ7],Thermotoga sp. RQ7,NA,126738,100%,0.0,90.77,325,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_041844112.1?report=genbank&log$=prottop&blast_rank=18&RID=1ZUW7R8T013"",""WP_041844112.1"")"
acetylxylan esterase [Thermotoga sp. SG1],Thermotoga sp. SG1,NA,126739,100%,0.0,90.15,325,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_101512670.1?report=genbank&log$=prottop&blast_rank=19&RID=1ZUW7R8T013"",""WP_101512670.1"")"
acetylxylan esterase [Thermotoga sp.],Thermotoga sp.,NA,28240,100%,0.0,87.69,325,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCD6551509.1?report=genbank&log$=prottop&blast_rank=20&RID=1ZUW7R8T013"",""MCD6551509.1"")"
acetyl xylan esterase [Thermotoga naphthophila],Thermotoga naphthophila,NA,93930,87%,1e-158,87.37,313,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CBH29725.1?report=genbank&log$=prottop&blast_rank=21&RID=1ZUW7R8T013"",""CBH29725.1"")"
