genbank_accession,cazyme_id,family,ec_number,genus,species,pdb_accession
NA,689,GH1,3.2.1.37,Alicyclobacillus, herbarius,B[nd]
NA,689,GH1,3.2.1.37,Alicyclobacillus, herbarius,C[nd]
NA,689,GH1,3.2.1.37,Alicyclobacillus, herbarius,D[nd]
NA,689,GH1,3.2.1.37,Alicyclobacillus, herbarius,6YN7[A]
NA,689,GH1,3.2.1.37,Alicyclobacillus, herbarius,"5YJ7[A,B,D]"
NA,689,GH1,3.2.1.37,Alicyclobacillus, herbarius,5YJ7[C]
NA,689,GH1,3.2.1.37,Alicyclobacillus, herbarius,"6Z1H[A,B]"
NA,689,GH1,3.2.1.37,Alicyclobacillus, herbarius,"6Z1M[A,B,C]"
NA,689,GH1,3.2.1.37,Alicyclobacillus, herbarius,"5NS6[B,C]"
NA,689,GH1,3.2.1.37,Alicyclobacillus, herbarius,"5NS7[A,B,C]"
NA,689,GH1,3.2.1.37,Alicyclobacillus, herbarius,"5NS8[A,B,C]"
NA,689,GH1,3.2.1.37,Alicyclobacillus, herbarius,5NS6[A]
NA,689,GH1,3.2.1.37,Alicyclobacillus, herbarius,3WH5[A]
NA,689,GH1,3.2.1.37,Alicyclobacillus, herbarius,3WH7[A]
NA,689,GH1,3.2.1.37,Alicyclobacillus, herbarius,3WH8[A]
NA,689,GH1,3.2.1.37,Alicyclobacillus, herbarius,5AYB[A]
NA,689,GH1,3.2.1.37,Alicyclobacillus, herbarius,5AYI[A]
NA,689,GH1,3.2.1.37,Alicyclobacillus, herbarius,3WH6[A]
NA,689,GH1,3.2.1.37,Alicyclobacillus, herbarius,5T98[B]
NA,689,GH1,3.2.1.37,Alicyclobacillus, herbarius,"5T99[A,B]"
NA,689,GH1,3.2.1.37,Alicyclobacillus, herbarius,5T98[A]
NA,689,GH1,3.2.1.37,Alicyclobacillus, herbarius,"5T9A[B,C,D]"
NA,689,GH1,3.2.1.37,Alicyclobacillus, herbarius,"5T9G[A,B,C,D]"
