Gene ID	EC#	HMMER	eCAMI	DIAMOND	Signalp	#ofTools
WP_101512349.1	N	GH109(2-150)	-	-	N	1
WP_101512361.1	N	GH109(2-142)	-	-	N	1
WP_101512382.1	N	GT4(217-378)	-	-	N	1
WP_101512405.1	N	GH13_36(20-320)	-	-	N	1
WP_101512454.1	N	GH42(14-388)	-	-	N	1
WP_101512457.1	N	GH29(3-354)	-	-	N	1
WP_101512475.1	N	GH51(3-482)	-	-	N	1
WP_101512476.1	N	GH51(197-525)	-	-	N	1
WP_101512479.1	N	GH43_4(30-355)	-	-	Y(1-20)	1
WP_101512484.1	N	GH127(26-532)	-	-	N	1
WP_101512529.1	N	GT28(182-327)	-	-	N	1
WP_101512670.1	N	CE7(3-319)	-	-	N	1
WP_101512671.1	N	GH3(89-315)	-	-	N	1
WP_101512672.1	N	GH26(100-258)	-	-	N	1
WP_101512678.1	N	GH10(28-337)	-	-	N	1
WP_101512687.1	N	CBM22(51-176)+CBM22(200-331)+GH10(366-687)+CBM9(726-863)+CBM9(878-1053)	-	-	N	1
WP_101512692.1	N	GH67(4-670)	-	-	N	1
WP_101512710.1	N	CE1(150-342)	-	-	N	1
WP_101512718.1	N	GH3(46-262)	-	-	N	1
WP_101512719.1	N	CBM4(19-171)+GH16_3(215-455)+CBM4(486-624)	-	-	N	1
WP_101512805.1	N	GH13(28-297)	-	-	N	1
WP_101512826.1	N	GH4(5-186)	-	-	N	1
WP_101512827.1	N	GH13_20(66-342)	-	-	N	1
WP_101512831.1	N	GH13_36(62-371)	-	-	Y(1-21)	1
WP_101512836.1	N	CBM41(22-120)+GH13_14(383-701)	-	-	N	1
WP_101512845.1	N	GH1(3-443)	-	-	N	1
WP_101512846.1	N	GH94(2-810)	-	-	N	1
WP_101512848.1	N	GH38(248-498)	-	-	N	1
WP_101512849.1	N	GH130(5-295)	-	-	N	1
WP_101512883.1	N	PL1(86-274)	-	-	Y(1-30)	1
WP_101512885.1	N	GH28(55-414)	-	-	N	1
WP_101513017.1	N	GH109(2-180)	-	-	N	1
WP_101513051.1	N	GT4(225-366)	-	-	N	1
WP_101513055.1	N	GT4(202-324)	-	-	N	1
WP_101513057.1	N	GH73(11-132)	-	-	N	1
WP_101513155.1	N	GT4(190-342)	-	-	N	1
WP_101513163.1	N	GH4(2-193)	-	-	N	1
WP_101513166.1	N	GT4(289-399)+GT2(738-829)	-	-	N	1
WP_101513167.1	N	GT2(7-128)	-	-	N	1
WP_101513176.1	N	GH13(119-511)	-	-	N	1
WP_101513185.1	N	CBM66(113-227)	-	-	N	1
WP_101513189.1	N	GH130(44-330)	-	-	N	1
WP_101513219.1	N	CE9(17-357)	-	-	N	1
WP_101513284.1	N	GT51(55-219)	-	-	N	1
WP_101513293.1	N	GT5(2-479)	-	-	N	1
WP_101513334.1	N	GH23(74-185)	-	-	Y(1-31)	1
WP_101513343.1	N	GH3(59-274)	-	-	N	1
WP_101513351.1	N	GH23(38-144)	-	-	N	1
WP_101513405.1	N	CE1(70-288)	-	-	Y(1-22)	1
WP_101513442.1	N	GH2(4-559)	-	-	N	1
WP_101513452.1	N	GH4(4-186)	-	-	N	1
WP_101513458.1	N	GH106(6-518)	-	-	N	1
WP_101513542.1	N	GT35(114-609)	-	-	N	1
WP_101513563.1	N	GH36(53-454)	-	-	N	1
WP_101513564.1	N	GH2(36-869)	-	-	N	1
WP_101513565.1	N	GH42(5-390)	-	-	N	1
WP_101513591.1	N	GH5_7(54-351)+CBM27(504-660)	-	-	N	1
WP_101513593.1	N	GT81(2-244)	-	-	N	1
WP_101513595.1	N	GH38(5-224)	-	-	N	1
WP_101513657.1	N	GH4(2-175)	-	-	N	1
WP_101513775.1	N	GH2(2-634)	-	-	N	1
WP_101513957.1	N	GH57(7-424)	-	-	N	1
WP_101513980.1	N	GH32(7-288)	-	-	N	1
WP_101513984.1	N	GT4(276-432)	-	-	N	1
WP_101513985.1	N	GH166(65-294)	-	-	Y(1-26)	1
WP_101513990.1	N	GT4(277-433)	-	-	N	1
WP_101514021.1	N	GH12(103-271)	-	-	Y(1-28)	1
WP_199167389.1	N	GT26(55-217)	-	-	N	1
WP_199167463.1	N	GH130(26-324)	-	-	N	1
WP_233185569.1	N	GH31(192-621)	-	-	N	1
WP_233185587.1	N	CE4(21-130)	-	-	Y(1-20)	1
WP_233185691.1	N	GH53(31-376)+CBM61(464-603)	-	-	N	1
