genbank_accession,pdb_accession,genus,species,uniprot_name
AAA18473.1,4I8D,Trichoderma,reesei QM9414,Beta-D-glucoside glucohydrolase (EC 3.2.1.21)
AAA18473.1,3ZZ1,Trichoderma,reesei QM9414,Beta-D-glucoside glucohydrolase (EC 3.2.1.21)
AAA18473.1,3ZYZ,Trichoderma,reesei QM9414,Beta-D-glucoside glucohydrolase (EC 3.2.1.21)
AAD35891.1,3WO8,Thermotoga,maritima MSB8,"Beta-N-acetylglucosaminidase (EC 3.2.1.52) (Hydrolase, putative)"
AAF93857.1,3GSM,Vibrio,cholerae O1 biovar El Tor str. N16961,Beta-hexosaminidase (EC 3.2.1.52) (Beta-N-acetylhexosaminidase) (N-acetyl-beta-glucosaminidase)
AAF93857.1,3GS6,Vibrio,cholerae O1 biovar El Tor str. N16961,Beta-hexosaminidase (EC 3.2.1.52) (Beta-N-acetylhexosaminidase) (N-acetyl-beta-glucosaminidase)
AAF93857.1,2OXN,Vibrio,cholerae O1 biovar El Tor str. N16961,Beta-hexosaminidase (EC 3.2.1.52) (Beta-N-acetylhexosaminidase) (N-acetyl-beta-glucosaminidase)
AAF93857.1,1TR9,Vibrio,cholerae O1 biovar El Tor str. N16961,Beta-hexosaminidase (EC 3.2.1.52) (Beta-N-acetylhexosaminidase) (N-acetyl-beta-glucosaminidase)
AAF93857.1,1Y65,Vibrio,cholerae O1 biovar El Tor str. N16961,Beta-hexosaminidase (EC 3.2.1.52) (Beta-N-acetylhexosaminidase) (N-acetyl-beta-glucosaminidase)
AAG06393.1,5G2M,Pseudomonas,aeruginosa PAO1,Beta-hexosaminidase (EC 3.2.1.52) (Beta-N-acetylhexosaminidase) (N-acetyl-beta-glucosaminidase)
AAG06393.1,5LY7,Pseudomonas,aeruginosa PAO1,Beta-hexosaminidase (EC 3.2.1.52) (Beta-N-acetylhexosaminidase) (N-acetyl-beta-glucosaminidase)
AAG06393.1,5G5K,Pseudomonas,aeruginosa PAO1,Beta-hexosaminidase (EC 3.2.1.52) (Beta-N-acetylhexosaminidase) (N-acetyl-beta-glucosaminidase)
AAG06393.1,5G3R,Pseudomonas,aeruginosa PAO1,Beta-hexosaminidase (EC 3.2.1.52) (Beta-N-acetylhexosaminidase) (N-acetyl-beta-glucosaminidase)
AAG06393.1,5G6T,Pseudomonas,aeruginosa PAO1,Beta-hexosaminidase (EC 3.2.1.52) (Beta-N-acetylhexosaminidase) (N-acetyl-beta-glucosaminidase)
